0.3415	0.196	0.0208	0.9445	0.257	0.0229	0.4789
0.3469	0.2017	0.0211	0.9449	0.2597	0.0234	0.4789
0.3523	0.2075	0.0213	0.9453	0.2625	0.0238	0.479
0.3577	0.2132	0.0216	0.9456	0.2653	0.0242	0.479
0.3632	0.2189	0.0218	0.9459	0.268	0.0246	0.4789
0.3686	0.2246	0.022	0.9462	0.2708	0.025	0.4789
0.374	0.2302	0.0221	0.9464	0.2736	0.0254	0.4789
0.3794	0.2359	0.0222	0.9466	0.2764	0.0258	0.4788
0.3848	0.2416	0.0223	0.9467	0.2792	0.0261	0.4787
0.3903	0.2472	0.0224	0.9469	0.282	0.0265	0.4786
0.3957	0.2529	0.0224	0.9469	0.2849	0.0268	0.4785
0.4011	0.2585	0.0224	0.9469	0.2878	0.0271	0.4783
0.4065	0.2641	0.0223	0.9469	0.2907	0.0274	0.4782
0.4119	0.2697	0.0223	0.9469	0.2937	0.0278	0.478
0.4174	0.2754	0.0222	0.9469	0.2967	0.028	0.4778
0.4228	0.281	0.022	0.9467	0.2998	0.0283	0.4776
0.4282	0.2866	0.0219	0.9466	0.3029	0.0285	0.4774
